commonName,locationAbbr,count,J
Coyote,D05-ADC1,0,5
Coyote,D07-ASC0,1,26
Coyote,R05-MTC1,8,26
Coyote,S05-RES1,1,28
Coyote,S07-STJ1,7,28
Coyote,R04-SCH1,0,28
Coyote,D02-HUP0,3,29
Coyote,D02-JBS1,0,29
Coyote,D02-MBS0,0,2
Coyote,D02-MDU1,3,32
Coyote,D02-MOP1,0,29
Coyote,D02-RCP1,8,27
Coyote,D02-SCP1,0,29
Coyote,D03-AFP1,0,29
Coyote,D03-AMP1,0,30
Coyote,D03-CHP1,1,29
Coyote,D03-GOM1,0,30
Coyote,D03-MFP0,0,30
Coyote,D04-DNP1,2,30
Coyote,D04-FGP1,0,30
Coyote,D04-RDP1,0,30
Coyote,D05-BRP1,0,30
Coyote,J01-BBS1,1,28
Coyote,J01-LMP1,0,19
Coyote,J01-SEP1,NA,0
Coyote,J01-SKP1,0,28
Coyote,R02-DPG1,1,28
Coyote,R03-AUP1,3,28
Coyote,R03-CPG1,12,28
Coyote,S02-BNS1,0,28
Coyote,S02-BRI1,0,28
Coyote,S02-CPR1,3,27
Coyote,S02-MCP1,1,28
Coyote,S02-PIP1,0,4
Coyote,S03-JKP1,0,28
Coyote,S03-JKP2,4,28
Coyote,S03-LCP1,2,28
Coyote,S03-PSP1,0,28
Coyote,S03-VIP1,0,28
Coyote,S03-WAP1,0,28
Coyote,S04-HAP1,4,28
Coyote,S04-SSP1,0,12
Coyote,D04-EDW0,0,30
Coyote,D04-EVC0,2,30
Coyote,D05-MIA1,0,27
Coyote,D07-NOC1,0,14
Coyote,D08-DAW2,0,4
Coyote,D08-DAW0,3,27
Coyote,R04-MMW0,1,28
Coyote,S04-OTW1,3,28
Coyote,S06-CBW1,2,28
Coyote,S07-SAG1,1,28
Coyote,R06-SLT1,0,19
Coyote,R06-YOW1,0,28
Coyote,R07-GOF1,2,27
Coyote,R08-WBK1,10,27
Coyote,R09-BLW1,7,27
Coyote,R09-LIM0,1,27
Coyote,R10-WCP0,3,27
Coyote,R10-WDW0,7,16
Coyote,S07-WGL0,6,28
Coyote,S08-WGL1,1,28
Coyote,S08-WGL2,1,28
Coyote,R10-FRM1,8,27
Coyote,R10-FRM2,0,27
Coyote,R08-DAP1,1,27
Coyote,R08-PAP1,0,27
Coyote,D06-KCG1,0,27
Coyote,D09-RYW1,0,27
Coyote,D10-CAN0,4,26
Coyote,D10-MAC1,0,27
Coyote,S10-LEW1,0,28
Coyote,R07-FSP1,1,27
Coyote,R07-MMP1,1,27
Coyote,R05-STP1,0,28
Coyote,R06-OTB1,7,27
Coyote,R03-EUC1,0,28
Coyote,R03-MAP1,0,28
Coyote,D05-PRC1,0,27
Coyote,D08-CCC1,5,26
Coyote,D09-CLG0,4,27
Coyote,R05-FMG1,2,28
Coyote,R05-GOC1,0,28
Coyote,R08-VLG1,2,15
Coyote,R09-CTG0,8,27
Coyote,R09-SMI1,0,9
Coyote,S05-LNC1,2,16
Coyote,S05-SFP0,4,28
Coyote,S09-SMC1,0,28
Coyote,S10-LPC1,2,28
Coyote,J01-UIC1,0,28
Coyote,R06-SLT2,1,28
Coyote,R07-YHR1,3,27
Coyote,D10-VHC1,1,26
Coyote,D09-VTC1,0,4
Coyote,S09-ILC1,0,28
Coyote,S09-KTP1,3,28
Coyote,S09-VTW0,0,4
Coyote,S10-ILC1,1,28
Coyote,S10-LPP0,6,28
Raccoon,D05-ADC1,0,5
Raccoon,D07-ASC0,3,26
Raccoon,R05-MTC1,8,26
Raccoon,S05-RES1,12,28
Raccoon,S07-STJ1,3,28
Raccoon,R04-SCH1,1,28
Raccoon,D02-HUP0,6,29
Raccoon,D02-JBS1,20,29
Raccoon,D02-MBS0,0,2
Raccoon,D02-MDU1,1,32
Raccoon,D02-MOP1,0,29
Raccoon,D02-RCP1,0,27
Raccoon,D02-SCP1,1,29
Raccoon,D03-AFP1,0,29
Raccoon,D03-AMP1,0,30
Raccoon,D03-CHP1,0,29
Raccoon,D03-GOM1,14,30
Raccoon,D03-MFP0,0,30
Raccoon,D04-DNP1,2,30
Raccoon,D04-FGP1,0,30
Raccoon,D04-RDP1,0,30
Raccoon,D05-BRP1,0,30
Raccoon,J01-BBS1,1,28
Raccoon,J01-LMP1,0,19
Raccoon,J01-SEP1,NA,0
Raccoon,J01-SKP1,0,28
Raccoon,R02-DPG1,6,28
Raccoon,R03-AUP1,3,28
Raccoon,R03-CPG1,2,28
Raccoon,S02-BNS1,1,28
Raccoon,S02-BRI1,0,28
Raccoon,S02-CPR1,3,27
Raccoon,S02-MCP1,2,28
Raccoon,S02-PIP1,0,4
Raccoon,S03-JKP1,26,28
Raccoon,S03-JKP2,6,28
Raccoon,S03-LCP1,1,28
Raccoon,S03-PSP1,0,28
Raccoon,S03-VIP1,0,28
Raccoon,S03-WAP1,1,28
Raccoon,S04-HAP1,2,28
Raccoon,S04-SSP1,0,12
Raccoon,D04-EDW0,22,30
Raccoon,D04-EVC0,11,30
Raccoon,D05-MIA1,7,27
Raccoon,D07-NOC1,0,14
Raccoon,D08-DAW2,0,4
Raccoon,D08-DAW0,4,27
Raccoon,R04-MMW0,8,28
Raccoon,S04-OTW1,25,28
Raccoon,S06-CBW1,15,28
Raccoon,S07-SAG1,3,28
Raccoon,R06-SLT1,0,19
Raccoon,R06-YOW1,19,28
Raccoon,R07-GOF1,3,27
Raccoon,R08-WBK1,18,27
Raccoon,R09-BLW1,12,27
Raccoon,R09-LIM0,17,27
Raccoon,R10-WCP0,9,27
Raccoon,R10-WDW0,2,16
Raccoon,S07-WGL0,5,28
Raccoon,S08-WGL1,11,28
Raccoon,S08-WGL2,11,28
Raccoon,R10-FRM1,12,27
Raccoon,R10-FRM2,9,27
Raccoon,R08-DAP1,11,27
Raccoon,R08-PAP1,12,27
Raccoon,D06-KCG1,12,27
Raccoon,D09-RYW1,8,27
Raccoon,D10-CAN0,4,26
Raccoon,D10-MAC1,0,27
Raccoon,S10-LEW1,5,28
Raccoon,R07-FSP1,2,27
Raccoon,R07-MMP1,0,27
Raccoon,R05-STP1,10,28
Raccoon,R06-OTB1,10,27
Raccoon,R03-EUC1,0,28
Raccoon,R03-MAP1,0,28
Raccoon,D05-PRC1,0,27
Raccoon,D08-CCC1,11,26
Raccoon,D09-CLG0,5,27
Raccoon,R05-FMG1,3,28
Raccoon,R05-GOC1,6,28
Raccoon,R08-VLG1,11,15
Raccoon,R09-CTG0,2,27
Raccoon,R09-SMI1,0,9
Raccoon,S05-LNC1,2,16
Raccoon,S05-SFP0,10,28
Raccoon,S09-SMC1,0,28
Raccoon,S10-LPC1,6,28
Raccoon,J01-UIC1,0,28
Raccoon,R06-SLT2,22,28
Raccoon,R07-YHR1,4,27
Raccoon,D10-VHC1,5,26
Raccoon,D09-VTC1,0,4
Raccoon,S09-ILC1,7,28
Raccoon,S09-KTP1,12,28
Raccoon,S09-VTW0,0,4
Raccoon,S10-ILC1,9,28
Raccoon,S10-LPP0,3,28
Redfox,D05-ADC1,0,5
Redfox,D07-ASC0,0,26
Redfox,R05-MTC1,0,26
Redfox,S05-RES1,0,28
Redfox,S07-STJ1,0,28
Redfox,R04-SCH1,9,28
Redfox,D02-HUP0,0,29
Redfox,D02-JBS1,0,29
Redfox,D02-MBS0,0,2
Redfox,D02-MDU1,0,32
Redfox,D02-MOP1,0,29
Redfox,D02-RCP1,0,27
Redfox,D02-SCP1,0,29
Redfox,D03-AFP1,0,29
Redfox,D03-AMP1,0,30
Redfox,D03-CHP1,0,29
Redfox,D03-GOM1,0,30
Redfox,D03-MFP0,0,30
Redfox,D04-DNP1,0,30
Redfox,D04-FGP1,0,30
Redfox,D04-RDP1,0,30
Redfox,D05-BRP1,0,30
Redfox,J01-BBS1,0,28
Redfox,J01-LMP1,0,19
Redfox,J01-SEP1,NA,0
Redfox,J01-SKP1,0,28
Redfox,R02-DPG1,0,28
Redfox,R03-AUP1,0,28
Redfox,R03-CPG1,0,28
Redfox,S02-BNS1,0,28
Redfox,S02-BRI1,0,28
Redfox,S02-CPR1,0,27
Redfox,S02-MCP1,0,28
Redfox,S02-PIP1,0,4
Redfox,S03-JKP1,0,28
Redfox,S03-JKP2,0,28
Redfox,S03-LCP1,0,28
Redfox,S03-PSP1,0,28
Redfox,S03-VIP1,0,28
Redfox,S03-WAP1,0,28
Redfox,S04-HAP1,0,28
Redfox,S04-SSP1,0,12
Redfox,D04-EDW0,0,30
Redfox,D04-EVC0,0,30
Redfox,D05-MIA1,0,27
Redfox,D07-NOC1,0,14
Redfox,D08-DAW2,0,4
Redfox,D08-DAW0,0,27
Redfox,R04-MMW0,0,28
Redfox,S04-OTW1,0,28
Redfox,S06-CBW1,0,28
Redfox,S07-SAG1,0,28
Redfox,R06-SLT1,0,19
Redfox,R06-YOW1,0,28
Redfox,R07-GOF1,0,27
Redfox,R08-WBK1,0,27
Redfox,R09-BLW1,0,27
Redfox,R09-LIM0,0,27
Redfox,R10-WCP0,0,27
Redfox,R10-WDW0,0,16
Redfox,S07-WGL0,0,28
Redfox,S08-WGL1,0,28
Redfox,S08-WGL2,0,28
Redfox,R10-FRM1,0,27
Redfox,R10-FRM2,0,27
Redfox,R08-DAP1,0,27
Redfox,R08-PAP1,0,27
Redfox,D06-KCG1,0,27
Redfox,D09-RYW1,0,27
Redfox,D10-CAN0,0,26
Redfox,D10-MAC1,0,27
Redfox,S10-LEW1,0,28
Redfox,R07-FSP1,0,27
Redfox,R07-MMP1,1,27
Redfox,R05-STP1,0,28
Redfox,R06-OTB1,0,27
Redfox,R03-EUC1,0,28
Redfox,R03-MAP1,0,28
Redfox,D05-PRC1,0,27
Redfox,D08-CCC1,0,26
Redfox,D09-CLG0,0,27
Redfox,R05-FMG1,0,28
Redfox,R05-GOC1,3,28
Redfox,R08-VLG1,0,15
Redfox,R09-CTG0,0,27
Redfox,R09-SMI1,0,9
Redfox,S05-LNC1,0,16
Redfox,S05-SFP0,0,28
Redfox,S09-SMC1,0,28
Redfox,S10-LPC1,0,28
Redfox,J01-UIC1,0,28
Redfox,R06-SLT2,0,28
Redfox,R07-YHR1,1,27
Redfox,D10-VHC1,0,26
Redfox,D09-VTC1,0,4
Redfox,S09-ILC1,0,28
Redfox,S09-KTP1,0,28
Redfox,S09-VTW0,0,4
Redfox,S10-ILC1,0,28
Redfox,S10-LPP0,0,28
Skunk,D05-ADC1,0,5
Skunk,D07-ASC0,16,26
Skunk,R05-MTC1,0,26
Skunk,S05-RES1,0,28
Skunk,S07-STJ1,0,28
Skunk,R04-SCH1,1,28
Skunk,D02-HUP0,0,29
Skunk,D02-JBS1,0,29
Skunk,D02-MBS0,0,2
Skunk,D02-MDU1,0,32
Skunk,D02-MOP1,0,29
Skunk,D02-RCP1,0,27
Skunk,D02-SCP1,0,29
Skunk,D03-AFP1,0,29
Skunk,D03-AMP1,0,30
Skunk,D03-CHP1,0,29
Skunk,D03-GOM1,0,30
Skunk,D03-MFP0,1,30
Skunk,D04-DNP1,0,30
Skunk,D04-FGP1,2,30
Skunk,D04-RDP1,0,30
Skunk,D05-BRP1,0,30
Skunk,J01-BBS1,0,28
Skunk,J01-LMP1,0,19
Skunk,J01-SEP1,NA,0
Skunk,J01-SKP1,0,28
Skunk,R02-DPG1,0,28
Skunk,R03-AUP1,0,28
Skunk,R03-CPG1,0,28
Skunk,S02-BNS1,0,28
Skunk,S02-BRI1,0,28
Skunk,S02-CPR1,0,27
Skunk,S02-MCP1,0,28
Skunk,S02-PIP1,0,4
Skunk,S03-JKP1,0,28
Skunk,S03-JKP2,0,28
Skunk,S03-LCP1,1,28
Skunk,S03-PSP1,0,28
Skunk,S03-VIP1,0,28
Skunk,S03-WAP1,0,28
Skunk,S04-HAP1,0,28
Skunk,S04-SSP1,0,12
Skunk,D04-EDW0,0,30
Skunk,D04-EVC0,0,30
Skunk,D05-MIA1,0,27
Skunk,D07-NOC1,0,14
Skunk,D08-DAW2,0,4
Skunk,D08-DAW0,3,27
Skunk,R04-MMW0,1,28
Skunk,S04-OTW1,0,28
Skunk,S06-CBW1,3,28
Skunk,S07-SAG1,1,28
Skunk,R06-SLT1,0,19
Skunk,R06-YOW1,1,28
Skunk,R07-GOF1,0,27
Skunk,R08-WBK1,0,27
Skunk,R09-BLW1,2,27
Skunk,R09-LIM0,2,27
Skunk,R10-WCP0,1,27
Skunk,R10-WDW0,0,16
Skunk,S07-WGL0,0,28
Skunk,S08-WGL1,0,28
Skunk,S08-WGL2,1,28
Skunk,R10-FRM1,0,27
Skunk,R10-FRM2,0,27
Skunk,R08-DAP1,0,27
Skunk,R08-PAP1,0,27
Skunk,D06-KCG1,1,27
Skunk,D09-RYW1,0,27
Skunk,D10-CAN0,0,26
Skunk,D10-MAC1,1,27
Skunk,S10-LEW1,0,28
Skunk,R07-FSP1,0,27
Skunk,R07-MMP1,0,27
Skunk,R05-STP1,8,28
Skunk,R06-OTB1,2,27
Skunk,R03-EUC1,0,28
Skunk,R03-MAP1,0,28
Skunk,D05-PRC1,0,27
Skunk,D08-CCC1,13,26
Skunk,D09-CLG0,3,27
Skunk,R05-FMG1,1,28
Skunk,R05-GOC1,2,28
Skunk,R08-VLG1,0,15
Skunk,R09-CTG0,1,27
Skunk,R09-SMI1,0,9
Skunk,S05-LNC1,1,16
Skunk,S05-SFP0,5,28
Skunk,S09-SMC1,2,28
Skunk,S10-LPC1,2,28
Skunk,J01-UIC1,0,28
Skunk,R06-SLT2,1,28
Skunk,R07-YHR1,0,27
Skunk,D10-VHC1,0,26
Skunk,D09-VTC1,0,4
Skunk,S09-ILC1,0,28
Skunk,S09-KTP1,0,28
Skunk,S09-VTW0,0,4
Skunk,S10-ILC1,0,28
Skunk,S10-LPP0,3,28
Opossum,D05-ADC1,0,5
Opossum,D07-ASC0,11,26
Opossum,R05-MTC1,1,26
Opossum,S05-RES1,7,28
Opossum,S07-STJ1,10,28
Opossum,R04-SCH1,4,28
Opossum,D02-HUP0,6,29
Opossum,D02-JBS1,6,29
Opossum,D02-MBS0,1,2
Opossum,D02-MDU1,0,32
Opossum,D02-MOP1,0,29
Opossum,D02-RCP1,4,27
Opossum,D02-SCP1,1,29
Opossum,D03-AFP1,3,29
Opossum,D03-AMP1,0,30
Opossum,D03-CHP1,0,29
Opossum,D03-GOM1,12,30
Opossum,D03-MFP0,0,30
Opossum,D04-DNP1,1,30
Opossum,D04-FGP1,0,30
Opossum,D04-RDP1,0,30
Opossum,D05-BRP1,0,30
Opossum,J01-BBS1,2,28
Opossum,J01-LMP1,4,19
Opossum,J01-SEP1,NA,0
Opossum,J01-SKP1,0,28
Opossum,R02-DPG1,7,28
Opossum,R03-AUP1,1,28
Opossum,R03-CPG1,0,28
Opossum,S02-BNS1,0,28
Opossum,S02-BRI1,1,28
Opossum,S02-CPR1,0,27
Opossum,S02-MCP1,1,28
Opossum,S02-PIP1,0,4
Opossum,S03-JKP1,2,28
Opossum,S03-JKP2,12,28
Opossum,S03-LCP1,5,28
Opossum,S03-PSP1,0,28
Opossum,S03-VIP1,0,28
Opossum,S03-WAP1,0,28
Opossum,S04-HAP1,0,28
Opossum,S04-SSP1,0,12
Opossum,D04-EDW0,5,30
Opossum,D04-EVC0,15,30
Opossum,D05-MIA1,3,27
Opossum,D07-NOC1,0,14
Opossum,D08-DAW2,0,4
Opossum,D08-DAW0,11,27
Opossum,R04-MMW0,19,28
Opossum,S04-OTW1,17,28
Opossum,S06-CBW1,7,28
Opossum,S07-SAG1,3,28
Opossum,R06-SLT1,0,19
Opossum,R06-YOW1,2,28
Opossum,R07-GOF1,6,27
Opossum,R08-WBK1,18,27
Opossum,R09-BLW1,7,27
Opossum,R09-LIM0,8,27
Opossum,R10-WCP0,5,27
Opossum,R10-WDW0,4,16
Opossum,S07-WGL0,8,28
Opossum,S08-WGL1,0,28
Opossum,S08-WGL2,9,28
Opossum,R10-FRM1,4,27
Opossum,R10-FRM2,8,27
Opossum,R08-DAP1,9,27
Opossum,R08-PAP1,11,27
Opossum,D06-KCG1,7,27
Opossum,D09-RYW1,2,27
Opossum,D10-CAN0,5,26
Opossum,D10-MAC1,3,27
Opossum,S10-LEW1,9,28
Opossum,R07-FSP1,0,27
Opossum,R07-MMP1,0,27
Opossum,R05-STP1,13,28
Opossum,R06-OTB1,24,27
Opossum,R03-EUC1,0,28
Opossum,R03-MAP1,0,28
Opossum,D05-PRC1,0,27
Opossum,D08-CCC1,9,26
Opossum,D09-CLG0,12,27
Opossum,R05-FMG1,2,28
Opossum,R05-GOC1,1,28
Opossum,R08-VLG1,1,15
Opossum,R09-CTG0,0,27
Opossum,R09-SMI1,0,9
Opossum,S05-LNC1,11,16
Opossum,S05-SFP0,5,28
Opossum,S09-SMC1,1,28
Opossum,S10-LPC1,1,28
Opossum,J01-UIC1,0,28
Opossum,R06-SLT2,12,28
Opossum,R07-YHR1,15,27
Opossum,D10-VHC1,10,26
Opossum,D09-VTC1,0,4
Opossum,S09-ILC1,12,28
Opossum,S09-KTP1,1,28
Opossum,S09-VTW0,0,4
Opossum,S10-ILC1,16,28
Opossum,S10-LPP0,11,28
