Parameter,Lower95,Median,Upper95,Effective sample size,Gelman-Rubin diagnostic
beta_occ[1],0.05,0.09,0.13,8747,1
beta_occ[2],-0.16,-0.08,-0.01,6950,1
beta_occ[3],-0.06,-0.01,0.04,5567,1
beta_pa_det[1],-0.47,-0.34,-0.21,7239,1
beta_pa_det[2],0.39,0.49,0.59,13260,1
beta_po_det[1],1.51,1.83,2.18,9094,1
beta_po_det[2],0.2,0.52,0.85,9650,1
beta_po_det[3],0.91,1.66,2.54,2314,1
pa_mu,-3.34,-2.75,-2.16,1503,1
po_mu,0.5,1.07,1.71,3460,1
pa_season[1],-1.54,-0.74,-0.03,3594,1
pa_season[2],-2.34,-1.38,-0.53,4637,1
pa_season[3],-0.87,-0.06,0.73,3938,1
pa_season[4],-1.07,-0.3,0.4,3093,1
pa_season[5],-0.88,-0.12,0.57,2911,1
pa_season[6],-0.2,0.47,1.11,2098,1
pa_season[7],-0.74,0.02,0.73,3252,1
pa_season[8],-1.03,-0.26,0.43,3257,1
pa_season[9],-2.08,-1.18,-0.36,4038,1
pa_season[10],-0.24,0.38,0.99,1917,1
pa_season[11],0.44,1.04,1.63,1870,1
pa_season[12],-0.06,0.52,1.1,1728,1
po_season[1],-1.24,-0.53,0.11,13323,1
po_season[2],-0.24,0.32,0.91,13804,1
po_season[3],-0.74,-0.16,0.41,13785,1
po_season[4],-0.5,0.09,0.75,14409,1
po_season[5],-0.7,-0.02,0.67,16085,1
po_season[6],-0.7,-0.05,0.57,15996,1
po_season[7],-0.98,-0.35,0.26,14925,1
po_season[8],-0.47,0.19,0.84,14336,1
po_season[9],-0.83,-0.09,0.66,18940,1
po_season[10],-0.26,0.4,1.11,17243,1
po_season[11],-0.33,0.27,0.9,15136,1
po_season[12],-0.54,0.15,0.84,15463,1
"b[1,1]",-4.81,-4.11,-3.46,7848,1
"b[2,1]",-0.43,-0.19,0.04,2228,1
"b[3,1]",-0.07,0.36,0.78,795,1.01
"b[4,1]",-1.09,-0.65,-0.16,710,1.01
"b[5,1]",0.07,0.7,1.36,329,1.01
"b[6,1]",0.11,0.75,1.38,404,1.01
"b[7,1]",-1.04,-0.24,0.42,297,1.01
"b[8,1]",-1.74,-0.83,0.1,253,1.02
"b[9,1]",-0.23,-0.16,-0.09,626,1
"b[10,1]",-1.01,-0.49,0,425,1
"b[1,2]",-4.8,-4.16,-3.57,7036,1
"b[2,2]",-0.34,-0.18,0,8429,1
"b[3,2]",-0.1,0.24,0.61,1516,1.01
"b[4,2]",-1.13,-0.76,-0.42,2556,1
"b[5,2]",0.18,0.71,1.27,508,1.01
"b[6,2]",0.18,0.74,1.28,871,1
"b[7,2]",-0.99,-0.32,0.31,552,1.01
"b[8,2]",-1.7,-0.85,0.05,321,1.02
"b[9,2]",-0.17,-0.11,-0.06,723,1
"b[10,2]",-1.13,-0.68,-0.27,482,1
"b[1,3]",-4.81,-4.28,-3.74,7117,1
"b[2,3]",-0.41,-0.23,-0.05,13389,1
"b[3,3]",-0.2,0.15,0.5,2534,1
"b[4,3]",-1.17,-0.82,-0.46,8749,1
"b[5,3]",0.32,0.86,1.36,884,1
"b[6,3]",0.26,0.77,1.34,1854,1
"b[7,3]",-0.85,-0.23,0.42,1061,1
"b[8,3]",-1.59,-0.77,0.14,477,1.01
"b[9,3]",-0.17,-0.12,-0.07,1444,1
"b[10,3]",-1.05,-0.61,-0.21,954,1
"b[1,4]",-4.78,-4.26,-3.76,7780,1
"b[2,4]",-0.24,-0.03,0.17,15812,1
"b[3,4]",-0.2,0.17,0.56,4524,1
"b[4,4]",-1.21,-0.81,-0.44,15766,1
"b[5,4]",0.44,0.96,1.5,1686,1
"b[6,4]",0.16,0.71,1.26,3717,1
"b[7,4]",-0.76,-0.12,0.54,1927,1
"b[8,4]",-1.61,-0.73,0.15,709,1.01
"b[9,4]",-0.18,-0.12,-0.06,2569,1
"b[10,4]",-1.1,-0.65,-0.23,1544,1
"b[1,5]",-4.7,-4.2,-3.73,9434,1
"b[2,5]",-0.39,-0.15,0.09,19312,1
"b[3,5]",-0.02,0.39,0.79,5903,1
"b[4,5]",-1.28,-0.86,-0.46,16090,1
"b[5,5]",0.54,1.1,1.65,2449,1
"b[6,5]",0.06,0.64,1.21,5735,1
"b[7,5]",-0.73,-0.06,0.6,2881,1
"b[8,5]",-1.54,-0.66,0.25,982,1.01
"b[9,5]",-0.2,-0.14,-0.07,4077,1
"b[10,5]",-0.87,-0.43,0.02,2788,1
"b[1,6]",-4.73,-4.27,-3.83,10647,1
"b[2,6]",-0.46,-0.26,-0.05,19549,1
"b[3,6]",0.18,0.58,0.95,6224,1
"b[4,6]",-1.36,-0.96,-0.58,16524,1
"b[5,6]",0.52,1.05,1.6,2746,1
"b[6,6]",-0.01,0.54,1.11,7046,1
"b[7,6]",-0.74,-0.05,0.61,3909,1
"b[8,6]",-1.53,-0.66,0.28,988,1.01
"b[9,6]",-0.16,-0.1,-0.04,3484,1
"b[10,6]",-0.78,-0.35,0.07,2954,1
"b[1,7]",-4.81,-4.34,-3.89,11273,1
"b[2,7]",-0.54,-0.35,-0.15,18430,1
"b[3,7]",0.13,0.52,0.88,7204,1
"b[4,7]",-1.38,-1.01,-0.62,14834,1
"b[5,7]",0.44,0.96,1.52,2918,1
"b[6,7]",-0.19,0.36,0.92,7608,1
"b[7,7]",-0.78,-0.1,0.57,4124,1
"b[8,7]",-1.67,-0.75,0.15,1270,1.01
"b[9,7]",-0.14,-0.09,-0.03,3506,1
"b[10,7]",-0.85,-0.42,-0.02,3095,1
"b[1,8]",-4.78,-4.3,-3.82,10836,1
"b[2,8]",-0.46,-0.25,-0.03,16764,1
"b[3,8]",0.15,0.56,0.96,7172,1
"b[4,8]",-1.29,-0.87,-0.48,16581,1
"b[5,8]",0.55,1.1,1.66,3444,1
"b[6,8]",-0.23,0.33,0.92,7207,1
"b[7,8]",-0.7,0,0.67,4644,1
"b[8,8]",-1.72,-0.82,0.12,1439,1.01
"b[9,8]",-0.19,-0.12,-0.06,4847,1
"b[10,8]",-0.93,-0.48,-0.05,3744,1
"b[1,9]",-4.6,-4.1,-3.62,11037,1
"b[2,9]",-0.48,-0.23,0.03,21031,1
"b[3,9]",0.16,0.59,1.02,7203,1
"b[4,9]",-1.27,-0.84,-0.41,15882,1
"b[5,9]",0.62,1.18,1.78,3464,1
"b[6,9]",-0.26,0.32,0.91,7358,1
"b[7,9]",-0.69,0.03,0.72,4531,1
"b[8,9]",-1.82,-0.85,0.11,1805,1.01
"b[9,9]",-0.23,-0.15,-0.08,5992,1
"b[10,9]",-0.83,-0.37,0.11,4139,1
"b[1,10]",-4.35,-3.93,-3.53,13014,1
"b[2,10]",-0.27,-0.07,0.12,17322,1
"b[3,10]",0.08,0.49,0.87,6081,1
"b[4,10]",-1.29,-0.89,-0.51,15101,1
"b[5,10]",0.65,1.23,1.78,3348,1
"b[6,10]",-0.35,0.24,0.82,7477,1
"b[7,10]",-0.68,0.05,0.75,4358,1
"b[8,10]",-1.88,-0.88,0.09,1970,1.01
"b[9,10]",-0.16,-0.1,-0.05,4059,1
"b[10,10]",-0.69,-0.24,0.21,3478,1
"b[1,11]",-4.2,-3.81,-3.42,16128,1
"b[2,11]",-0.22,-0.03,0.15,14499,1
"b[3,11]",0.22,0.61,1.01,5866,1
"b[4,11]",-1.15,-0.78,-0.39,15857,1
"b[5,11]",0.5,1.07,1.66,3395,1
"b[6,11]",-0.28,0.31,0.92,8051,1
"b[7,11]",-0.61,0.14,0.87,4700,1
"b[8,11]",-1.93,-0.92,0.09,2089,1.01
"b[9,11]",-0.18,-0.13,-0.07,3632,1
"b[10,11]",-0.74,-0.28,0.17,3263,1
"b[1,12]",-3.94,-3.48,-3.03,18643,1
"b[2,12]",-0.12,0.1,0.34,16136,1
"b[3,12]",0.07,0.53,1.02,6915,1
"b[4,12]",-1.33,-0.87,-0.39,18265,1
"b[5,12]",0.31,0.98,1.63,4296,1
"b[6,12]",-0.44,0.26,0.96,10129,1
"b[7,12]",-0.66,0.2,1.01,5717,1
"b[8,12]",-2,-0.89,0.18,2435,1
"b[9,12]",-0.23,-0.16,-0.1,4699,1
"b[10,12]",-0.79,-0.25,0.27,4207,1
rho,-1.36,-0.09,1.12,775,1
gam_sd,0.21,0.26,0.32,10825,1
pa_sd_season,0.51,0.83,1.29,10837,1
po_sd_season,0.34,0.55,0.85,21936,1
